Timestamp,System Description,System Location,Wifi incoming packets,Ethernet incoming packets,Wifi outgoing packets,Ethernet outgoing packets,Wifi inbound errors,Ethernet inbound errors,Wifi outbound errors,Ethernet outbound errors,System Uptime,Number of Processes,CPU 1 Utilisation,CPU 2 Utilisation,Total Memory Size,Memory used
2024-10-08 22:45:45,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,46220631,0,10928596,0,0,0,0,0,299247,304,7,7,7848888,4696012
2024-10-08 22:45:50,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,46224617,0,10933533,0,0,0,0,0,299763,304,7,7,7848888,4723188
2024-10-08 22:45:55,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,46227355,0,10936312,0,0,0,0,0,300273,304,7,7,7848888,4766460
2024-10-08 22:46:00,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,46380451,0,11065931,0,0,0,0,0,300782,304,7,7,7848888,4743688
2024-10-08 22:46:05,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,46457428,0,11136454,0,0,0,0,0,301297,304,6,7,7848888,4738700
2024-10-08 22:46:11,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,46473587,0,11140049,0,0,0,0,0,301811,304,6,7,7848888,4729084
2024-10-08 22:46:16,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,46477925,0,11145478,0,0,0,0,0,302323,305,6,7,7848888,4723588
2024-10-08 22:46:21,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,46482698,0,11150068,0,0,0,0,0,302845,305,6,7,7848888,4721156
2024-10-08 22:46:26,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,46512733,0,11185015,0,0,0,0,0,303353,305,6,7,7848888,4724400
2024-10-08 22:46:31,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,46514476,0,11186998,0,0,0,0,0,303862,305,6,7,7848888,4710328
2024-10-08 22:46:36,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,46530111,0,11203309,0,0,0,0,0,304381,305,5,7,7848888,4710384
2024-10-08 22:46:41,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,46618739,0,11249626,0,0,0,0,0,304895,305,5,7,7848888,4771476
2024-10-08 22:46:46,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,46643703,0,11271969,0,0,0,0,0,305408,306,5,7,7848888,4962616
2024-10-08 22:46:52,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,53144505,0,11601048,0,0,0,0,0,305917,306,6,7,7848888,5314892
2024-10-08 22:46:57,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,53423375,0,11651559,0,0,0,0,0,306436,306,6,7,7848888,5214100
2024-10-08 22:47:02,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,55700353,0,11754325,0,0,0,0,0,306942,306,6,7,7848888,5155968
2024-10-08 22:47:07,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,60304337,0,11933940,0,0,0,0,0,307459,306,7,8,7848888,5398748
2024-10-08 22:47:12,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,61347902,0,12002352,0,0,0,0,0,307975,306,10,10,7848888,5341636
2024-10-08 22:47:17,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,61853240,0,12071406,0,0,0,0,0,308492,311,10,11,7848888,5385176
2024-10-08 22:47:22,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,61872415,0,12094560,0,0,0,0,0,309001,311,10,10,7848888,5355588
2024-10-08 22:47:28,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,62528996,0,12228903,0,0,0,0,0,309510,311,12,11,7848888,5335656
2024-10-08 22:47:33,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,64314786,0,12469395,0,0,0,0,0,310029,311,12,11,7848888,5375700
2024-10-08 22:47:38,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,64851891,0,13157953,0,0,0,0,0,310537,311,12,11,7848888,5376472
2024-10-08 22:47:43,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,64855864,0,13162453,0,0,0,0,0,311045,311,11,10,7848888,5343108
2024-10-08 22:47:48,Linux nayan-Inspiron-3501 6.8.0-45-generic #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2 x86_64,Sitting on the Dock of the Bay,65108075,0,13176873,0,0,0,0,0,311559,316,11,9,7848888,5335640
